['2015-08-31T14:50:00', 'æøå', 'غزوہ ابو حسان الخثعمی;;;;;\r']
['2015-08-31T14:51:00', 'æøå', 'غزوہ ابو حسان الخثعمی. .;;;;;\r']
['2015-09-01T10:59:00', 'æøå', 'Yarmouk TV channel linked to the Jordanian Muslim Brothers has been suspended by Joedanian  authorities. http://t.co/pWIO0plqdJ/s/SzIN;;;;;\r']
['2015-09-01T11:01:00', 'æøå', '""@anti__terrorist: #WilayatAlJazirah";;;;;\r']
['2015-09-01T11:06:00', 'æøå', '""#AlShabaab claims it killed 50+ #AMISOM soldiers from #UPDF in today\'s Jannaale attack carried out by Sheikh Abu Zubayr battali""";;;;;\r']
['2015-09-01T11:19:00', 'æøå', '""@FollowTheHaQQQ: #IslamicState Wilayet #Sinai";;;;;\r']
['2015-09-01T14:41:00', 'æøå', '""#IS #WilayatBarqah #Libya ";;;;;\r']
['2015-09-01T14:41:00', 'æøå', 'ah town. 📷 http://t.co/oBltqWJCHJ/s/yrBT http://t.co/fsd3nWsdGO/s/;;;;;\r']
['2015-09-01T14:41:00', 'æøå', 'on_Y;;;;;\r']
['2015-09-01T14:49:00', 'æøå', '""The bakery Administration ➡  9th in top ten selected";;;;;\r']
['2015-09-01T14:49:00', 'æøå', 'https://t.co/NSaIFPbNG7/s/ZiSk http://t.co/83MzxnOaVi/s/ZG4V;;;;;\r']
['2015-09-01T14:52:00', 'æøå', '""General Petraeus: Use Al-Qaeda (JN) Fighters to Beat the Islamic State ";;;;;\r']
['2015-09-01T14:52:00', 'æøå', '""Poor IS """"Baathists &amp";" Saddamists""""']
['2015-09-01T14:56:00', 'æøå', '""@3diyah1000: Most popular attacks in Somalia last years : #dayniile attack']
['2015-09-01T15:03:00', 'æøå', '""US-trained Division 30 has entered Marea to fight the Islamic State']
['2015-09-01T16:05:00', 'æøå', '@Tawheed1_IS but one is important to live when the other one is not!;;;;;\r']
['2015-09-01T16:08:00', 'æøå', 'the word of the week! https://t.co/B8bvjrYU5s;;;;;\r']
['2015-09-01T16:21:00', 'æøå', '""@IronMuhajir2 @jundhullah14 ";;;;;\r']
['2015-09-02T03:07:00', 'æøå', '""جديد";;;;;\r']
['2015-09-02T03:07:00', 'æøå', '""https://t.co/4yOV4XFTMh/s/JFUK";;;;;\r']
['2015-09-02T03:08:00', 'æøå', 'p://t.;;;;;\r']
['2015-09-02T04:42:00', 'æøå', '""#IslamicState now just 8 kilometres from Great Umayyad Mosque. March towards #Damascus";;;;;\r']
['2015-09-02T15:47:00', 'æøå', '""BREAKING";;;;;\r']
['2015-09-02T16:07:00', 'æøå', '""#WilayatAlFallujah";;;;;\r']
['2015-09-02T17:34:00', 'æøå', '@Jazrawi_Missk: Apostate FSA group declares hiwar this area circled as a military zone. http://t.co/34AjemeLva/s/zjMI;;;;;\r']
['2015-09-02T23:06:00', 'æøå', '""my heart is tears blood every day for those kids from the occupied #Syria my loved country https://t.co/iZPJdxSkG2""";;;;;\r']
['2015-09-03T03:16:00', 'æøå', '""WilayatSayna";;;;;\r']
['2015-09-03T03:17:00', 'æøå', '""#WilayatAlFurat";;;;;\r']
['2015-09-03T03:18:00', 'æøå', '""Here is the #JN shar\'ī who was doing the job. See the face? His nam""";;;;;\r']
['2015-09-03T03:18:00', 'æøå', '""e is Abu Abwab.";;;;;\r']
['2015-09-03T04:31:00', 'æøå', '""RT @pieternanninga: New 37-min video #IS #Sinai prov.: snipers']
['2015-09-03T04:32:00', 'æøå', '""RT @pieternanninga: New #IS video shows four men being burned alive in al-Anbar province http://t.co/YvdLFHfaUV""";;;;;\r']
['2015-09-03T13:03:00', 'æøå', '""Ali Mohammad Beqaaey died. Second Syrian refugee child to die shot by funeral stray bullets in Lebanon']
['2015-09-03T13:03:00', 'æøå', '""@uygaraktas: #Uighurs are being eliminated in Pakistan under the pretext of war  against terrorism ";;;;;\r']
['2015-09-03T13:03:00', 'æøå', 'What more...Sariyyah al-Ghuraba are extended to Mali &amp; sahara of maghrib/ Algeria!;;;;\r']
['2015-09-03T13:04:00', 'æøå', 'Mujahideen from Burma capture 3 pigs of the Buddhist army http://t.co/UJMkNMR6NH/s/l_Oi;;;;;\r']
['2015-09-03T13:16:00', 'æøå', '""Britain should not take more Middle East refugees']
['2015-09-03T14:22:00', 'æøå', '""@striv3ric: Here\'s an alternative link of the statement of the pledge on archive org";;;;;\r']
['2015-09-03T16:14:00', 'æøå', '""https://t.co/WsGDfE73mq/s/erwg ";;;;;\r']
['2015-09-03T23:47:00', 'æøå', '""RT @MuslimPrisoners: Bothers &amp"; Sisters plz show determination.;;;;\r']
['2015-09-04T12:47:00', 'æøå', '""RT @3bdUlkaed6r: Russian troops \'fighting alongside Assad\'s army against Syrian rebels\'";;;;;\r']
['2015-09-04T12:48:00', 'æøå', '""RT @syrializer: #Syria: ISIS Destroys More Ancient Artifacts In #Palmyra #IslamicState http://t.co/0BC2ETgejL http://t.co/Ip8gGzNXsb""";;;;;\r']
['2015-09-04T16:06:00', 'æøå', 'Iraq Basra body of young sunni child found with signs of torture 1 day after being kidnapped by Rafidah militia;;;;;\r']
['2015-09-04T16:16:00', 'æøå', '""@AK47_PK:";;;;;\r']
['2015-09-04T16:17:00', 'æøå', '""@AK47_PK:";;;;;\r']
['2015-09-04T16:20:00', 'æøå', '""@AK47_PK:";;;;;\r']
['2015-09-04T16:25:00', 'æøå', '""Tower of Elahbel a grave made into a tower']
['2015-09-04T17:35:00', 'æøå', '""العراق : بيجي";;;;;\r']
['2015-09-04T17:35:00', 'æøå', 'لإسلامية کے ہاتھوں ھلاک ہوگیا۔ http://t.co/ae1lnq60z3/s/-iYz;;;;;\r']
['2015-09-05T00:40:00', 'æøå', '""Large quantities of weaponry left behind by Iraqi army and Badr militia upon attack by #ISIS in #Fallujah']
['2015-09-05T00:40:00', 'æøå', '@spamci16: More than 70000 childrens have been killed by Assad regime.Why cry only for the drowned child?Hypocricy of the world.;;;;;\r']
['2015-09-05T00:42:00', 'æøå', '""PHOTOS: #UAE broadcast footage of airstrikes in #Yemen after 45 UAE soldiers killed in Marib.- @Flea1337 http://t.co/2GKY3HemJW/s/-ZpH""";;;;;\r']
['2015-09-05T02:20:00', 'æøå', '""also my sincere condolences for UAE ']
['2015-09-05T02:31:00', 'æøå', 'Syrian apostate sahwat dragging a beheaded corpse of a muslim for the sake of America and Turkey https://t.co/M9NiJOQNY4/s/9pvk;;;;;\r']
['2015-09-05T02:51:00', 'æøå', '""#ولاية_حلب";;;;;\r']
['2015-09-05T02:51:00', 'æøå', '""الےمرتدین صحوات کی لاشیں";;;;;\r']
['2015-09-05T02:51:00', 'æøå', '/xGLf2TcqF5/s/ZMTR;;;;;\r']
['2015-09-05T02:58:00', 'æøå', '""@AK47_PK:";;;;;\r']
['2015-09-05T03:51:00', 'æøå', '15 year old US crusader sent to hell with I fag in his mouth by islamic state in kafra mazra3ah. Hilarious http://t.co/D2/s/CP7e.;;;;;\r']
